======================================================
                      RUN OVERVIEW                   
======================================================
| Event                                            |  #  |  %   |
[2022-02-08 14:46:38,865] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:46:40,374] WARNING    End failed game: Elpased time: 41.61s Fails: 12
[2022-02-08 14:46:41,195] INFO       Starting game #26
[2022-02-08 14:46:41,196] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:46:41,821] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:46:41,821] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:46:41,842] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:46:41,842] DEBUG      Wait for Play button
[2022-02-08 14:46:46,663] DEBUG      Found Play Btn
[2022-02-08 14:46:47,177] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:46:47,235] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:46:49,791] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:46:52,526] DEBUG      Found Match: A4_TOWN_4 (90.1% confidence)
[2022-02-08 14:46:52,771] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:46:53,534] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:46:55,111] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:46:55,112] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:47:00,798] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:47:00,819] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:47:02,743] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:47:05,812] DEBUG      Could not find any of the above templates
[2022-02-08 14:47:05,813] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:47:09,195] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:47:10,188] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:47:10,217] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:47:10,217] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:47:18,876] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:47:19,277] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:47:19,308] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:47:21,737] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

27) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:47:21,737] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:47:23,243] WARNING    End failed game: Elpased time: 42.05s Fails: 13
[2022-02-08 14:47:24,185] INFO       Starting game #27
[2022-02-08 14:47:24,186] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:47:24,833] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:47:24,834] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:47:24,861] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:47:24,861] DEBUG      Wait for Play button
[2022-02-08 14:47:29,262] DEBUG      Found Play Btn
[2022-02-08 14:47:29,710] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:47:29,779] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:47:32,304] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:47:34,990] DEBUG      Found Match: A4_TOWN_4 (90.0% confidence)
[2022-02-08 14:47:35,201] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:47:35,958] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:47:36,003] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:47:36,004] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:47:41,787] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:47:41,823] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:47:43,778] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:47:46,839] DEBUG      Could not find any of the above templates
[2022-02-08 14:47:46,839] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:47:50,328] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:47:51,279] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:47:51,311] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:47:51,312] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:48:00,205] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:48:00,603] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:48:00,628] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:48:02,871] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

28) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:48:04,409] WARNING    End failed game: Elpased time: 40.22s Fails: 14
[2022-02-08 14:48:05,361] INFO       Starting game #28
[2022-02-08 14:48:05,361] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:48:05,990] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:48:05,991] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:48:06,023] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:48:06,024] DEBUG      Wait for Play button
[2022-02-08 14:48:10,996] DEBUG      Found Play Btn
[2022-02-08 14:48:11,394] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:48:11,432] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:48:14,029] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:48:16,761] DEBUG      Found Match: A4_TOWN_5 (89.5% confidence)
[2022-02-08 14:48:16,971] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:48:17,740] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:48:17,789] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:48:17,790] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:48:23,510] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:48:23,541] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:48:25,371] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:48:28,416] DEBUG      Could not find any of the above templates
[2022-02-08 14:48:28,416] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:48:31,963] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:48:32,962] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:48:32,996] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:48:32,996] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:48:41,806] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:48:42,199] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:48:42,224] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:48:42,504] INFO       Pause at next state change...
[2022-02-08 14:48:44,409] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

29) ========== [2022-02-08 16:57:51,480] DEBUG      Traverse: [603]
[2022-02-08 16:57:23,401] INFO       Health Manager is now active
[2022-02-08 16:57:25,782] DEBUG      Traverse: [600]
[2022-02-08 16:57:26,767] DEBUG      ROF: Calibrated at WAYPOINT
[2022-02-08 16:57:35,347] DEBUG      Traverse: [603]
[2022-02-08 16:57:38,596] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 16:57:40,982] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 16:57:41,033] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 16:57:41,034] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 16:57:41,555] DEBUG      Kill trash at location: rof_01
[2022-02-08 16:57:51,480] DEBUG      Traverse: [603]
[2022-02-08 16:57:54,895] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 16:57:57,162] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 16:57:57,194] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 16:57:57,195] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 16:57:57,754] INFO       ROF: Teleporting to CS ENTRANCE
[2022-02-08 16:57:57,754] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:57:58,701] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:57:59,533] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:00,412] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:01,301] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:02,184] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:03,052] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:03,884] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:04,723] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:05,566] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:06,418] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:07,271] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 16:58:08,555] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 16:58:08,578] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 16:58:11,459] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

30) ========== [2022-02-08 17:05:28,722] DEBUG      Traverse: [650660]
[2022-02-08 17:04:15,943] DEBUG      Found Match: DIA_B2U2_16_OPEN (86.9% confidence)
[2022-02-08 17:04:15,944] INFO       B2-U: Seal2: is open - [92m open[0m
[2022-02-08 17:04:15,944] INFO       B2-U: Kill Boss B (De Seis)
[2022-02-08 17:04:18,802] DEBUG      B2-U: Attacking De Seis at position 1/4
[2022-02-08 17:04:23,965] DEBUG      B2-U: Attacking De Seis at position 2/4
[2022-02-08 17:04:23,965] DEBUG      Traverse: [640]
[2022-02-08 17:04:29,922] DEBUG      B2-U: Attacking De Seis at position 3/4
[2022-02-08 17:04:29,922] DEBUG      Traverse: [646]
[2022-02-08 17:04:35,040] DEBUG      B2-U: Attacking De Seis at position 4/4
[2022-02-08 17:04:35,040] DEBUG      Traverse: [641]
[2022-02-08 17:04:51,453] DEBUG      Traverse: [641]
[2022-02-08 17:04:52,365] DEBUG      Traverse: [646]
[2022-02-08 17:04:56,138] DEBUG      Traverse: [646]
[2022-02-08 17:04:56,314] DEBUG      Traverse: [640]
[2022-02-08 17:04:59,444] DEBUG      Traverse: [640]
[2022-02-08 17:04:59,661] DEBUG      B2-U: Static Pathing to Pentagram
[2022-02-08 17:05:02,249] DEBUG      B2-U: Looping to Pentagram
[2022-02-08 17:05:02,249] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:05:02,641] DEBUG      Found Match: DIA_NEW_PENT_TP (89.0% confidence)
[2022-02-08 17:05:02,642] DEBUG      Traverse: [602]
[2022-02-08 17:05:04,162] INFO       B2-U: finished seal & calibrated at PENTAGRAM
[2022-02-08 17:05:12,132] DEBUG      Traverse: [602]
[2022-02-08 17:05:12,538] INFO       C: Got enough pots, no need to go to town right now.
[2022-02-08 17:05:28,722] INFO       C: Checking Layout for Infector
[2022-02-08 17:05:28,722] DEBUG      Traverse: [650660]
[2022-02-08 17:05:32,752] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 17:05:38,978] ERROR      Got stuck exit pather
[2022-02-08 17:05:39,393] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 17:05:39,420] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 17:05:42,193] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

31) ========== [2022-02-08 17:05:28,722] DEBUG      Traverse: [650660]
[2022-02-08 17:05:39,393] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 17:05:39,420] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 17:05:42,193] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 17:05:43,712] WARNING    End failed game: Elpased time: 449.87s Fails: 2
[2022-02-08 17:05:44,493] INFO       Starting game #7
[2022-02-08 17:05:44,493] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 17:05:45,138] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 17:05:45,138] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 17:05:45,162] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 17:05:45,163] DEBUG      Wait for Play button
[2022-02-08 17:05:45,188] DEBUG      Found Play Btn
[2022-02-08 17:05:45,744] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 17:05:45,785] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 17:05:48,308] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 17:05:51,040] DEBUG      Found Match: A4_TOWN_5 (89.5% confidence)
[2022-02-08 17:05:51,097] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 17:05:51,254] INFO       Health Manager is now pausing
[2022-02-08 17:05:51,856] DEBUG      Will pickup: {'rejuv': 0, 'health': 0, 'mana': 0}
[2022-02-08 17:05:53,572] INFO       Identifying items
[2022-02-08 17:05:53,572] DEBUG      Traverse from a4_town_start to a4_tyrael_stash
[2022-02-08 17:05:59,496] INFO       Stashing items
[2022-02-08 17:05:59,496] DEBUG      Traverse from a4_tyrael_stash to a4_tyrael_stash
[2022-02-08 17:06:08,162] ERROR      Wanted to select ['A4_TOWN_2'], but could not find it
[2022-02-08 17:06:08,162] INFO       Running transmutes
[2022-02-08 17:06:08,162] DEBUG      Waiting for templates: ['INVENTORY_GOLD_BTN']
[2022-02-08 17:06:28,212] DEBUG      Could not find any of the above templates
[2022-02-08 17:06:28,213] ERROR      Could not determine to be in stash menu. Continue...
[2022-02-08 17:06:28,626] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 17:06:28,648] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 17:06:31,511] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

32) ========== [2022-02-08 17:24:56,889] DEBUG      Traverse: [685, 686]
[2022-02-08 17:24:38,000] DEBUG      CS Trash (B): clearing second hall (3/3) - location: entrance2_03
[2022-02-08 17:24:48,105] DEBUG      Traverse: [683, 684]
[2022-02-08 17:24:52,479] DEBUG      Pather: taking a random guess towards (279, -314)
[2022-02-08 17:24:54,613] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 17:24:54,649] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 17:24:54,650] DEBUG      Pather: taking a random guess towards (-232, 220)
[2022-02-08 17:24:56,889] DEBUG      Traverse: [685, 686]
[2022-02-08 17:25:00,950] DEBUG      Pather: taking a random guess towards (361, -259)
[2022-02-08 17:25:01,732] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 17:25:01,804] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 17:25:01,804] DEBUG      Pather: taking a random guess towards (361, -259)
[2022-02-08 17:25:02,336] DEBUG      CS Trash (B): clearing third hall (1/1) - location: entrance2_04
[2022-02-08 17:25:12,610] DEBUG      CS Trash: looping to PENTAGRAM
[2022-02-08 17:25:12,610] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:13,908] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:15,053] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:16,172] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:17,372] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:18,472] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:19,541] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:20,605] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:21,676] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:22,871] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:23,927] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:25,072] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:26,159] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:27,294] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 17:25:28,919] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 17:25:28,953] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 17:25:31,568] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

33) ========== [2022-02-08 18:47:50,580] DEBUG      Traverse: [610620]
[2022-02-08 18:47:21,480] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:22,809] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:23,829] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:24,815] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:25,829] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:26,807] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:27,816] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:28,833] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:29,847] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:30,848] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
